"h0" "h1" "h2" "h3" "h4" "h5" "h6" "h7" "h8" "h9" "h10" "h11" "h12" "h13" "h14" "h15" "h16" "h17" "h18" "h19" "h20" "h21" "h22" "h23" "h24" "daytype"
"2023-03-13" 24.316 22.646999 22.139 21.927001 22.220001 23.98 28.733001 34.157999 39.906999 41.279 40.965 41.663999 40.452 39.047001 40.174999 40.321001 41.428001 39.902001 39.93 42.990001 41.463 38.779 35.075 31.788999 29.058 "Working day"
"2023-03-14" 29.058 27.073999 26.236999 26.024998 26.238 27.650999 31.488 36.701 41.602999 44.241 42.756999 41.766 39.332 39.359001 41.424999 42.355999 41.537 41.440999 40.711001 44.176 42.596 39.942001 36.231 32.363999 28.866 "Working day"
"2023-03-15" 28.866 27.173 25.914999 26.212001 26.088 27.646 31.380999 36.429 42.302 44.771999 43.139001 42.654 40.411 39.354999 40.304 41.202 42.410001 41.469001 41.350999 44.762 43.514 40.841998 36.925 33.151002 30.346001 "Working day"
"2023-03-16" 30.346001 28.780001 27.666 27.479001 27.609999 28.974 32.770001 38.134001 44.116999 45.238999 44.445 43.824001 42.543002 40.837 41.878001 42.692 42.823999 41.621999 41.222 45.156999 44.216999 41.386999 37.265 33.608 30.907001 "Working day"
"2023-03-17" 30.907001 28.657 27.639999 27.497 27.391 28.545999 32.472999 38.26 44.185999 45.259 44.872 43.861 42.43 40.898 41.857 43.060999 42.876 41.302 40.534001 44.535 43.234999 40.355 37.244001 34.124999 30.185 "Working day"
"2023-03-18" 30.185 28.594001 27.334998 26.581001 26.832 27.13 27.980999 30.430999 33.842999 35.286999 35.755001 34.978998 33.965999 33.091 32.579999 32.778 32.420999 32.308001 33.531999 37.724001 36.831 33.968 31.801 28.942999 26.476001 "Holiday"
"2023-03-19" 26.476001 24.402 22.934001 22.105 22.349 22.793 23.717001 23.927999 26.239002 28.049999 28.695001 29.61 29.934 27.444 26.601 27.194998 26.946999 27.292 29.553999 33.436 32.837001 31.534 29.494001 27.265 24.802001 "Holiday"
"2023-03-20" 24.802001 23.254 22.526999 22.183 22.667 24.288001 28.776002 34.183001 39.281 41.441 41.525 40.964 40.239001 39.392 40.034001 41.153002 41.204001 40.85 40.270001 43.402999 42.324001 39.809 36.033 32.755 29.569 "Working day"
"2023-03-21" 29.569 27.448 26.323001 25.760999 25.787 27.537001 31.624001 37.123998 42.741 44.806 44.169999 43.147 41.849 40.866001 41.257 42.082001 42.76 40.972 40.169 43.726 42.605 39.532999 35.911 32.673999 29.433 "Working day"
"2023-03-22" 29.433 27.608 26.786 26.171001 26.027 27.369 31.321001 36.491001 41.185 43.127999 42.614001 41.593001 39.829999 38.598999 39.292 40.294 40.658999 40.394 39.601 43.691 42.438999 39.911 36.122001 32.588 29.368001 "Working day"
"2023-03-23" 29.368001 27.471 26.506 25.952999 26.213999 27.843999 31.146 36.504001 42.332 43.880999 42.555 41.55 40.728 39.398001 40.169999 41.271 41.77 40.553999 39.747999 43.49 42.092 39.599 35.828001 32.266 29.192 "Working day"
"2023-03-24" 29.192 27.606001 26.700999 26.462 26.322999 27.488 31.198001 36.206 41.726001 44.196999 42.759 42.564 40.610999 39.854001 40.917999 41.137999 41.158 40.39 39.593999 42.678001 41.539001 38.571001 34.780999 31.812999 28.913 "Working day"
"2023-03-25" 28.913 26.950001 25.33 24.497999 24.489 25.015 26.100999 28.758 31.504 34.238 34.767999 33.481 32.882 31.643999 30.713001 31.384001 31.347999 30.677999 30.740999 34.784002 34.782001 32.157 29.678 27.528001 25.256999 "Holiday"
"2023-03-26" 25.256999 23.132001 22.247999 22.247999 21.949001 22.277 22.835999 23.627 25.263999 27.684001 29.269 29.490002 29.987 28.374 28.291 27.764 26.521001 26.803001 27.793 29.740999 33.221001 32.217999 30.286 27.941999 25.523001 "Holiday"
"2023-03-27" 25.523001 23.521999 22.571 22.196001 22.610999 24.481999 29.007001 34.744999 40.088999 42.029 42.112 42.17 39.614 37.852002 39.002 40.207 38.348 38.744999 37.286 38.125 40.685998 39.023 35.836 32.337 29.166 "Working day"
"2023-03-28" 29.166 27.228999 26.479 25.953 25.547 27.273 31.230001 36.471 41.324 44.225999 43.446 41.983 39.608001 37.958 38.416001 38.686 39.238999 38.444 37.914999 38.251999 41.874 39.985999 36.404 32.857001 29.607001 "Working day"
"2023-03-29" 29.607001 27.855999 26.376 25.930001 26.035999 27.196001 31.394001 37.106 42.308001 45.189999 43.626 42.151 39.749001 38.532001 38.543999 39.887 39.556 39.265999 38.281 39.423 42.391 39.978 36.496999 33.187001 29.816 "Working day"
"2023-03-30" 29.816 27.848999 26.595001 26.040999 26.003 27.233999 31.396 36.258001 41.363 44.351 44.212 43.082999 41.780001 39.775 40.482 40.747 40.468 39.900999 39.135999 39.836 41.808998 39.448999 35.947999 32.681 29.814 "Working day"
"2023-03-31" 29.814 27.558999 26.410999 26.087 26.084002 26.955001 31.03 35.756001 40.212 42.588 42.232001 41.927001 40.825 39.045 39.122 39.035001 38.906999 39.579999 37.572001 38.717 40.32 37.836999 34.347 31.307 28.115 "Working day"
"2023-04-01" 28.115 26.07 24.828001 24.151 24.049 24.232999 25.734 27.57 30.945 33.887999 34.145 33.143 31.840999 31.273 30.013002 29.807 29.912 29.909 29.245 31.102 34.061001 32.084999 30.033999 27.405999 24.853001 "Holiday"
"2023-04-02" 24.853001 22.775999 21.867 21.318001 21.022 21.184 22.341999 22.587 24.824001 27.358 28.998 28.536 28.762 27.073001 25.268001 24.075999 24.106001 25.067001 26.147 28.122 31.267001 30.804 28.935999 26.457 24.890001 "Holiday"
"2023-04-03" 24.890001 23.124 22.406999 22.087001 22.382 24.148001 29.21 34.715999 40.393999 43.412001 43.451999 42.56 41.032 39.783001 40.721999 40.966 41.152 39.924999 38.737001 39.470999 41.879 39.83 36.294001 32.793 28.099998 "Working day"
"2023-04-04" 28.099998 26.374001 25.479999 25.183001 25.259001 26.455 30.213 35.466 41.240999 45.32 44.390001 44.289 42.499 40.202 41.229 41.961 41.774 40.251 38.278999 38.918999 41.568999 39.545999 35.919 32.72 29.786999 "Working day"
"2023-04-05" 29.786999 27.906 26.577 26.16 26.5 28.044999 32.203 37.610001 43.287001 46.443001 45.446 44.359 43.727 42.743 41.917 42.668999 41.662001 40.603001 39.405 41.016001 42.728 40.925999 37.263001 33.919 30.614001 "Working day"
"2023-04-06" 30.614001 28.625 27.549999 26.972999 26.723 28.292 32.229 36.574999 43.129001 45.739001 45.059002 44.703 42.322 40.836001 40.995998 40.963 41.093999 40.124999 39.298999 39.993001 42.138 40.294999 36.976002 33.813001 30.394001 "Working day"
"2023-04-07" 30.394001 28.499001 27.413999 27.011 27.145 28.268 31.393001 35.377 40.670999 43.926002 43.552001 42.377001 40.756999 37.279 38.619 38.745 37.213999 37.283 37.490001 37.792999 39.934001 38.253999 35.176 32.136 28.919001 "Working day"
"2023-04-08" 28.919001 26.163001 24.556999 23.922 23.616999 24.063001 25.165 26.791001 30.355999 32.901 32.490001 32.330998 33.06 32.269001 29.773 28.878999 30.3 30.678999 30.614 31.368 33.914 32.426 29.627001 27.474999 24.173999 "Holiday"
"2023-04-09" 24.173999 21.966 20.821998 19.942 19.536 19.804001 20.646 20.568 23.267999 25.528 26.361 27.021001 28.911 26.545 23.778 24.203001 23.577 23.508 23.878999 25.122999 28.178 28.212 26.761999 25.088001 22.841 "Holiday"
"2023-04-10" 22.841 20.896002 20.204001 19.507001 19.352 19.87 21.013 21.049999 23.386 26.558999 27.648 27.357 27.429 25.469 23.627 25.034 24.712 24.982 25.225999 26.585 29.57 29.287 27.485 25.383001 24.512 "Holiday"
"2023-04-11" 24.512 22.718001 21.804 21.356001 21.502 23.028001 28.115999 32.471001 39.076999 42.755999 42.674 42.215999 40.392001 40.381 40.142999 40.174 40.013001 39.027001 38.033 38.429001 41.153 39.954999 35.991001 33.085001 29.737 "Working day"
"2023-04-12" 29.737 27.488001 26.342 26.023999 25.931 26.922001 31.094001 36.1 42.311001 44.783001 44.256 44.207999 43.669 41.779 41.697 42.009 41.275 41.152001 39.916999 40.043 41.891 40.004001 36.438999 33.389001 30.083 "Working day"
"2023-04-13" 30.083 27.801998 26.636999 26.396999 26.425 27.544999 31.896 37.274 42.776001 44.15 44.516 45.198999 43.247 42.173001 42.800001 42.778 42.634001 41.658998 40.407999 41.233999 42.343 40.786 37.045999 33.726 30.254 "Working day"
"2023-04-14" 30.254 28.301 26.981 26.503 26.663 27.496 31.805 37.001 41.97 44.604 43.442999 43.18 41.818001 40.195002 41.043001 40.891 40.919 39.941999 39.27 39.378 41.143998 39.791001 36.103999 33.208001 29.738 "Working day"
"2023-04-15" 29.738 28.047999 26.545001 25.894001 25.446999 25.938 27.525999 29.111001 32.774001 34.610001 35.164002 34.868001 34.546001 33.558 32.061 30.877 31.902999 31.884 31.642 32.547 34.989999 33.452001 31.312 29.274 26.871 "Holiday"
"2023-04-16" 26.871 24.85 23.548 22.708 22.702001 22.847 23.591999 23.845 26.694 29.057999 30.19 30.289999 32.791 31.777 30.263 29.727 28.008999 28.493999 29.943 30.889999 33.43 32.850999 31.249001 28.793 25.180999 "Holiday"
